id,logo,name,descrption,prix,id_restaurant
2365873,,La Cagole De Marseille 33Cl,Marseille,"5,90 €",34581
2365874,,St Rieul Grand Cru 33Cl,Craig Allan,"5,90 €",34581
2365875,,St Rieul Grand Cru 75Cl,Craig Allan,"10,90 €",34581
2365876,,Agent Provocateur 33Cl,Craig Allan,"5,90 €",34581
2365877,,Agent Provocateur 75Cl,Craig Allan,"10,90 €",34581
2365878,,Psychedelia 33Cl,Craig Allan,"5,90 €",34581
2365879,,Psychedelia 75Cl,Craig Allan,"10,90 €",34581
2365880,,Duchesse Anne Tripel 33Cl,Craig Allan,"5,90 €",34581
2365881,,Bonnets Rouges 33Cl,Craig Allan,"5,90 €",34581
2365882,,Philomenn Blonde 33Cl,Craig Allan,"5,90 €",34581
2365883,,Philomenn Blonde 75Cl,Craig Allan,"10,90 €",34581
2365884,,Philomenn Stout 33Cl,Craig Allan,"5,90 €",34581
2365885,,Philomenn Stout 75Cl,Craig Allan,"11,80 €",34581
2365886,,Cuvée Des Jonquilles 75Cl,Craig Allan,"11,80 €",34581
2365824,,Quilmes 34Cl,Argentine,"5,90 €",34581
2365825,,Brahma 33Cl,Bresil,"5,90 €",34581
2365826,,Cubanero 33Cl,Cuba,"5,90 €",34581
2365827,,Palma Cristal 33Cl,Cuba,"5,90 €",34581
2365828,,Corona 33Cl,Mexique,"5,90 €",34581
2365829,,Sol 33Cl,Mexique,"5,90 €",34581
2365830,,Pacifico 33Cl,Mexique,"5,90 €",34581
2365831,,"Negra Modelo 35,5Cl",Mexique,"5,90 €",34581
2365832,,Tiger 33Cl,Singapour,"5,90 €",34581
2365833,,Kingfisher 33Cl,Inde,"5,90 €",34581
2365834,,Lion Lager 33Cl,Sri Lanka,"5,90 €",34581
2365835,,Singha 33Cl,Thailande,"5,90 €",34581
2365836,,Chang 33Cl,Thailande,"5,80 €",34581
2365837,,Beirut 33Cl,Liban,"5,80 €",34581
2365838,,Kirin Ichiban 33Cl,Japon,"5,90 €",34581
2365839,,Hitachino Xh 33Cl,Japon,"8,90 €",34581
2365840,,Hitachino White Ale 33Cl,Japon,"8,90 €",34581
2365841,,Hitachino Red Rice Ale 33Cl,Japon,"8,90 €",34581
2365842,,Casablanca 33Cl,Maroc,"5,90 €",34581
2365843,,Flag 33Cl,Togo,"5,90 €",34581
2365844,,La Gazelle 50Cl,Senegal,"7,90 €",34581
2365845,,"Coopers Sparkling Ale 37,5Cl",Australie,"5,90 €",34581
2365846,,"Coopers Original Pale Ale 37,5Cl",Australie,"5,90 €",34581
2365847,,Bourbon 33Cl,La Réunion,"5,90 €",34581
2365848,,Hinano 33Cl,Tahiti,"5,90 €",34581
2365849,,Red Stripe 33Cl,Jamaïque,"5,90 €",34581
2365954,,Augustiner Helles,50Cl,"6,90 €",34581
2365955,,Erdinger Weissbier,50Cl,"6,90 €",34581
2365956,,Erdinger Kristall,50Cl,"6,90 €",34581
2365957,,Paulaner Hefe,50Cl,"6,90 €",34581
2365958,,Paulaner Kristall,50Cl,"6,90 €",34581
2365959,,Franziskaner Hefe- Weissbier,50Cl,"6,90 €",34581
2365960,,Beck'S Pils,50Cl,"6,90 €",34581
2365961,,Spaten,50Cl,"6,90 €",34581
2365962,,Pilsner Urquell,33Cl,"5,90 €",34581
2365963,,Budweiser,33Cl,"5,90 €",34581
2365964,,Staropramen,33Cl,"5,90 €",34581
2375516,,Jacquie Et Michel 33Cl,,"5,90 €",34581
2375517,,"Kékette ""Large"" Blonde 33Cl",,"6,90 €",34581
2375518,,"Kékette ""Large"" Blonde 75Cl",,"12,90 €",34581
2375519,,"Kékette ""Red"" 33Cl",,"6,90 €",34581
2375520,,Kékette Bien M'Ambrée 33Cl,,"6,90 €",34581
2375521,,Kékette Bien M'Ambrée 75Cl,,"12,90 €",34581
2375522,,Cochonnette 33Cl,,"6,90 €",34581
2375523,,La Bouffonne 33Cl,,"6,90 €",34581
2375524,,Iron Maiden Trooper 50Cl,,"9,80 €",34581
2375525,,Motörhead Bastards Lager 33Cl,,"7,90 €",34581
2375526,,AC/DC 56Cl,,"7,90 €",34581
2375554,,Delta Ipa 33Cl,Brussels Beer Project ,"6,90 €",34581
2375555,,Grosse Bertha 33Cl,Brussels Beer Project ,"6,90 €",34581
2375556,,Babylone 33Cl,Brussels Beer Project ,"6,90 €",34581
2375557,,Taras Boulba 33Cl,Brasserie De La Seine ,"6,90 €",34581
2375558,,Jambe De Bois 33Cl,Brasserie De La Seine ,"6,90 €",34581
2375527,,Porter 33Cl,The Kernel,"9,90 €",34581
2375528,,Pale Ale The Kernel 33Cl,The Kernel,"9,90 €",34581
2375529,,India Pale Ale The Kernel 33Cl,The Kernel,"9,90 €",34581
2375530,,Stout 33Cl,The Kernel,"9,90 €",34581
2375531,,India Pale Ale Numbers 33Cl,Numbers,"9,90 €",34581
2375532,,Pale Ale Numbers 33Cl,Numbers,"9,90 €",34581
2375533,,Saison,Numbers,"9,90 €",34581
2375534,,India Pale Ale 33Cl,Siren Craft Brew ,"8,90 €",34581
2375535,,Pale Ale 33Cl,Siren Craft Brew ,"8,90 €",34581
2375536,,"Lager 35,5Cl",Brooklyn,"5,90 €",34581
2375537,,"India Pale Ale 35,5Cl",Brooklyn,"6,90 €",34581
2375538,,"Blast ( Double Ipa ) 35,5Cl",Brooklyn,"8,90 €",34581
2375539,,"Black Chocolat Stout 35,5Cl",Brooklyn,"8,90 €",34581
2375540,,"Sorachi Ace 35,5Cl",Brooklyn,"8,90 €",34581
2375541,,"Anchor Stream Beer 35,5Cl",Anchor Brewing ( San Francisco),"6,90 €",34581
2375542,,"Liberty Ale 35,5Cl",Anchor Brewing ( San Francisco),"6,90 €",34581
2375543,,"Single-Wide I.P.A 35,5Cl",Boulevard,"6,90 €",34581
2375544,,Chocolat Stout 65Cl,Rogue ,"15,90 €",34581
2375545,,Fresh Roast 65Cl,Rogue ,"15,90 €",34581
2375546,,Dirtoir Black Lager 65Cl,Rogue ,"15,90 €",34581
2375547,,Chipote Ale 65Cl,Rogue ,"15,90 €",34581
2375548,,Punk Ipa 33Cl,BrewDog ,"5,90 €",34581
2375549,,Jack Hammer 33Cl,BrewDog ,"7,90 €",34581
2375550,,5Am Saint 33Cl,BrewDog ,"6,90 €",34581
2375551,,Hardcore 33Cl,BrewDog ,"8,90 €",34581
2375552,,Spaceman India Pale Ale 33Cl,Brewfist italian Ales,"7,90 €",34581
2375553,,2 Late Ipa 33Cl,Brewfist italian Ales,"8,90 €",34581
2375559,,"Pêche Mortel 34,1Cl",Dieu du ciel ,"8,90 €",34581
2375560,,"Cornes Du Diable Ipa 34,1Cl",Dieu du ciel ,"8,90 €",34581
2375561,,"Rosée Hibiscus 34,1Cl",Dieu du ciel ,"8,90 €",34581
2375562,,"La Morsure 37,5Cl",Le trou Du Diable,"8,90 €",34581
2375563,,"La Saison Du Tracteur 37,5Cl",Le trou Du Diable,"8,90 €",34581
2375564,,Bud 33Cl,,"5,90 €",34581
2375565,,Samuel Adams Boston Lager 33Cl,,"5,90 €",34581
2375566,,Blue Moon White Ale 35Cl,,"5,90 €",34581
811936,,Bagel Du Mois,"Bagel aux graines de tournesol, cocktail de crevettes au fromage frais et persillade, mesclun, tomate, concombre, sauce yaourt citron","7,50 €",13827
794767,,Isidore,"Bagel (au choix), cream cheese, salade, mozzarella, tomates séchées, poivrons marinés, sauce (au choix)","6,70 €",13827
794768,,Henriette,"Bagel (au choix), mousse de thon, salade, concombres, tomates, sauce (au choix)","6,70 €",13827
794770,http://cdn1.deliveroo.co.uk/media/menu_items/794770/320x180.jpg?v=1479910945,Léontine,"Bagel (au choix), cream cheese, salade, saumon fumé, concombres, oignons rouges, sauce (au choix)","7,20 €",13827
794769,,Hypolite,Actuellement vendu,"7,20 €",13827
794771,http://cdn1.deliveroo.co.uk/media/menu_items/794771/320x180.jpg?v=1479910904,GAB,"Bagel (au choix), cream cheese, salade, pastrami, poivrons marinés, oignons rouges, sauce (au choix)","7,20 €",13827
2351235,,Gaston,"Bagel (au choix), Cream cheese, Salade mixte, Feta AOP, Tomate, Concombre, Oignon Rouge, Tapenade d'olives noires Kalamata
 ","7,20 €",13827
806751,,Fitness,"Bagel complet, cream cheese light, salade, poulet, tomates, concombres, oignons","7,00 €",13827
806752,,Albertine,Tout ce que vous voulez … mais pas plus de 6 ingrédients ,"8,20 €",13827
794822,,Chips,Actuellement vendu,"2,00 €",13827
806733,,Coleslaw,Actuellement vendu,"2,00 €",13827
794807,,Salade de fruits,,"3,70 €",13827
794800,,Brownie,,"2,90 €",13827
794805,http://cdn1.deliveroo.co.uk/media/menu_items/794805/320x180.jpg?v=1479910769,Cheesecake,Actuellement vendu,"3,70 €",13827
806739,,Cookie,"Chocolat au lait, Chocolat noir noix de pécan, ou Chocolat blanc coco","2,60 €",13827
794796,,Muffin,"Poire Pecan, Trois Chocolats, Myrtilles, Nutella, Framboise Pralines Roses","2,60 €",13827
794802,,Crumble,Actuellement vendu,"3,70 €",13827
1501703,,Banana Bread,,"3,40 €",13827
1501712,,Carrot Cake,,"3,40 €",13827
1501768,,Greenie Thé vert Framboise,,"2,90 €",13827
2351188,,Pecan Pie,,"3,70 €",13827
4069620,,Cookie Luxe Framboise chocolat blanc,,"3,60 €",13827
794780,,Bagel Cream cheese,,"2,70 €",13827
794779,,Bagel Confiture,,"3,10 €",13827
794778,,Bagel Caramel Beurre Salé,,"3,10 €",13827
794777,,Bagel Chocolat Blanc,,"3,10 €",13827
794776,,Bagel Beurre De Cacahuètes,,"3,10 €",13827
794775,,Bagel Crème De Spéculoos,,"3,10 €",13827
794774,,Bagel Nutella,,"3,10 €",13827
794794,,Oranges Pressées,Actuellement vendu,"3,50 €",13827
794790,,Eau Qui Pique,50cl,"2,30 €",13827
794789,,Eau Qui Pique Pas,50cl,"2,30 €",13827
794791,,Dr Pepper,33cl,"2,30 €",13827
794788,,Nestea Pêche,33cl,"2,30 €",13827
794787,,Oasis Tropical,33cl,"2,30 €",13827
794786,,Pulco Citronnade,33cl,"2,30 €",13827
794785,,Orangina,33cl,"2,30 €",13827
794784,,Sprite,33cl,"2,30 €",13827
794783,,Schweppes Agrum,33cl,"2,30 €",13827
794782,,Minute Maid Pomme,33cl,"2,30 €",13827
806753,,Minute Maid Orange,33cl,"2,30 €",13827
794781,,Coca-Cola,33cl,"2,30 €",13827
806754,,Coca-Cola Zéro,33cl,"2,30 €",13827
806756,,Coca-Cola Light,33cl,"2,30 €",13827
794793,,Arizona,"33cl - Green Tea Honey, Green Tea Pomegranate, Half & Half, ou Iced Tea Peach","3,20 €",13827
794792,,Naked,"45cl - Green Machine, Red Machine, Blue Machine, Mango Machine","3,50 €",13827
794797,,Donut-à-tomber,Actuellement vendu,"2,60 €",44385
794803,,Clafoutis,Actuellement vendu,"3,70 €",44385
2351171,,Fromage Blanc Granola Maison,,"4,10 €",44385
